 qp(1:3)   w(Ry)   eps  epsi --- LFC included. 
  0.10000000  0.10000000  0.00000000    0.6237D+00 -0.563912560145067E+01  0.808317413426614E+01   -0.580530587032483E-01 -0.832137844924779E-01
  0.10000000  0.10000000  0.00000000    0.6798D+00 -0.600695903336260E+01  0.693074904470834E+01   -0.714103890890195E-01 -0.823923524718830E-01
  0.10000000  0.10000000  0.00000000    0.7406D+00 -0.592287773771372E+01  0.520708444505952E+01   -0.952319809528917E-01 -0.837229787024814E-01
  0.10000000  0.10000000  0.00000000    0.8065D+00 -0.534490051612501E+01  0.290186562266502E+01   -0.144500567581199E+00 -0.784525789122575E-01
  0.10000000  0.10000000  0.00000000    0.8778D+00 -0.398318832029148E+01  0.162767872413488E+01   -0.215131566319898E+00 -0.879107501909645E-01
  0.10000000  0.10000000  0.00000000    0.9551D+00 -0.293648792186601E+01  0.157806655381187E+01   -0.264232920580949E+00 -0.141998586569992E+00
  0.10000000  0.10000000  0.00000000    0.1039D+01 -0.239044764091556E+01  0.168148766005288E+01   -0.279858136382242E+00 -0.196857690935202E+00
  0.10000000  0.10000000  0.00000000    0.1129D+01 -0.212959834976782E+01  0.110751810772687E+01   -0.369607364481307E+00 -0.192217865381462E+00
  0.10000000  0.10000000  0.00000000    0.1228D+01 -0.172976689604321E+01  0.745427408387220E+00   -0.487566541318215E+00 -0.210112393839036E+00
  0.10000000  0.10000000  0.00000000    0.1334D+01 -0.138936803178618E+01  0.474101519431899E+00   -0.644683708254417E+00 -0.219988886057405E+00
  0.10000000  0.10000000  0.00000000    0.1449D+01 -0.953260860091032E+00  0.263254476862786E+00   -0.974695199995575E+00 -0.269173828191163E+00
  0.10000000  0.10000000  0.00000000    0.1574D+01 -0.579975302624725E+00  0.235707895265781E+00   -0.147979472989600E+01 -0.601403714314492E+00
  0.10000000  0.10000000  0.00000000    0.1710D+01 -0.321133644432804E+00  0.136784045736039E+00   -0.263577118823791E+01 -0.112268350891246E+01
  0.10000000  0.10000000  0.00000000    0.1856D+01 -0.680722954401500E-01  0.122167727785804E+00   -0.348039380483941E+01 -0.624617989136058E+01
  0.10000000  0.10000000  0.00000000    0.2015D+01  0.129887553583566E+00  0.184469115951008E+00    0.255183682526161E+01 -0.362417391212451E+01
  0.10000000  0.10000000  0.00000000    0.2187D+01  0.219427022007403E+00  0.107243182827816E+00    0.367861743343759E+01 -0.179789452711266E+01
  0.10000000  0.10000000  0.00000000    0.2373D+01  0.341020815453868E+00  0.544985938807224E-01    0.285934663803467E+01 -0.456952667194419E+00
  0.10000000  0.10000000  0.00000000    0.2575D+01  0.469165027762861E+00  0.808281455693225E-01    0.207000693632682E+01 -0.356622535948056E+00
  0.10000000  0.10000000  0.00000000    0.2794D+01  0.552533062383122E+00  0.100488826318104E+00    0.175189980567396E+01 -0.318616870707769E+00
  0.10000000  0.10000000  0.00000000    0.3030D+01  0.602449344751738E+00  0.652182026181078E-01    0.164066339181257E+01 -0.177610148384239E+00
  0.10000000  0.10000000  0.00000000    0.3287D+01  0.670350710212400E+00  0.677754266899997E-01    0.147666186253947E+01 -0.149297056429986E+00
  0.10000000  0.10000000  0.00000000    0.3565D+01  0.716513307794582E+00  0.543768424695551E-01    0.138765538753690E+01 -0.105310421438475E+00
  0.10000000  0.10000000  0.00000000    0.3866D+01  0.761884794835676E+00  0.623444698011819E-01    0.130380408865095E+01 -0.106689325187397E+00
  0.10000000  0.10000000  0.00000000    0.4192D+01  0.792662863396016E+00  0.615863149262477E-01    0.125400051058980E+01 -0.974301609539074E-01
  0.10000000  0.10000000  0.00000000    0.4545D+01  0.814477450131112E+00  0.449375110521426E-01    0.122405492184423E+01 -0.675353032425269E-01
  0.10000000  0.10000000  0.00000000    0.4928D+01  0.844824799224321E+00  0.723814404865749E-01    0.117505199453629E+01 -0.100674075961372E+00
  0.10000000  0.10000000  0.00000000    0.5343D+01  0.841320780246020E+00  0.437911431447560E-01    0.118539573972638E+01 -0.617004069557898E-01
  0.10000000  0.10000000  0.00000000    0.5792D+01  0.854877865879198E+00  0.183168109684337E-01    0.116922096964237E+01 -0.250519990469544E-01
  0.10000000  0.10000000  0.00000000    0.6279D+01  0.878490193918676E+00  0.163865805924499E-01    0.113792070663522E+01 -0.212257683650612E-01
  0.10000000  0.10000000  0.00000000    0.6806D+01  0.895798087824974E+00  0.434639982886344E-02    0.111629671058298E+01 -0.541625607129746E-02
  0.10000000  0.10000000  0.00000000    0.7377D+01  0.914285948450047E+00  0.235105783250681E-21    0.109374971987184E+01 -0.281254332965101E-21
  0.10000000  0.10000000  0.00000000    0.7995D+01  0.929418552129306E+00  0.456102658739160E-03    0.107594125045548E+01 -0.528007175944133E-03
  0.10000000  0.10000000  0.00000000    0.8665D+01  0.940939206588572E+00  0.563663249119285E-03    0.106276753497488E+01 -0.636643682852048E-03
  0.10000000  0.10000000  0.00000000    0.9391D+01  0.950138704156150E+00  0.466975194668038E-03    0.105247765833783E+01 -0.517272854201399E-03
  0.10000000  0.10000000  0.00000000    0.1018D+02  0.957895072936790E+00  0.168198995459071E-21    0.104395567766532E+01 -0.183310574663210E-21
  0.10000000  0.10000000  0.00000000    0.1103D+02  0.964478667328655E+00  0.107700130347586E-20    0.103682956800873E+01 -0.115779315194247E-20
  0.10000000  0.10000000  0.00000000    0.1195D+02  0.969957456213711E+00 -0.976413865202601E-21    0.103097305308994E+01  0.103783560530255E-20
