 qp(1:3)   w(Ry)   eps  epsi --- LFC included. 
  0.00000000  0.00000000  0.01000000    0.3866D+01 -0.134509099107894E+01  0.838374468420617E-01   -0.740567146408099E+00 -0.461584080049217E-01
  0.00000000  0.00000000  0.01000000    0.4192D+01 -0.937251505347093E+00  0.160873072190255E+00   -0.103641515882559E+01 -0.177893862761072E+00
  0.00000000  0.00000000  0.01000000    0.4545D+01 -0.674710654471813E+00  0.179727167942288E+00   -0.138391874371613E+01 -0.368643647201721E+00
  0.00000000  0.00000000  0.01000000    0.4928D+01 -0.389279199156390E+00  0.180223221197705E+00   -0.211543277908320E+01 -0.979374470816311E+00
  0.00000000  0.00000000  0.01000000    0.5343D+01 -0.190878331412161E+00  0.366304096708191E+00   -0.111877802736922E+01 -0.214698531625128E+01
  0.00000000  0.00000000  0.01000000    0.5792D+01 -0.775011887194748E-01  0.171097673697518E+00   -0.219669289936946E+01 -0.484959071105870E+01
  0.00000000  0.00000000  0.01000000    0.6279D+01  0.316330656077484E-01  0.399277843115616E+00    0.197184802036733E+00 -0.248889954039489E+01
  0.00000000  0.00000000  0.01000000    0.6806D+01 -0.952770688872479E-02  0.112141937627960E+00   -0.752191857128175E+00 -0.885336349149772E+01
  0.00000000  0.00000000  0.01000000    0.7377D+01  0.167731432664297E+00 -0.874544088272261E-18    0.596191175449762E+01  0.310851376923022E-16
  0.00000000  0.00000000  0.01000000    0.7995D+01  0.329751886742777E+00  0.330174594915611E-03    0.303258006288715E+01 -0.303646752018123E-02
  0.00000000  0.00000000  0.01000000    0.8665D+01  0.446312894902139E+00  0.972552897380454E-02    0.223951715591655E+01 -0.488009404074566E-01
  0.00000000  0.00000000  0.01000000    0.9391D+01  0.528799066161179E+00  0.222760356957915E-01    0.188772755483262E+01 -0.795218620574555E-01
  0.00000000  0.00000000  0.01000000    0.1018D+02  0.596003940407035E+00  0.792706894265702E-19    0.167784125607804E+01 -0.223158982853058E-18
  0.00000000  0.00000000  0.01000000    0.1103D+02  0.660661877449911E+00  0.767296887108164E-16    0.151363357586168E+01 -0.175794361779126E-15
  0.00000000  0.00000000  0.01000000    0.1195D+02  0.713610029351970E+00  0.383047180161321E-16    0.140132559642989E+01 -0.752194890937556E-16
