 q(1:3)   w(Ry)   eps    epsi  --- NO LFC
  0.10000000  0.00000000  0.00000000    0.1691D+01 -0.730974257304061D+00  0.106530525060011D+00   -0.133958513494261D+01 -0.195228089583271D+00
  0.10000000  0.00000000  0.00000000    0.1811D+01 -0.448537465423253D+00  0.994286051201002D-01   -0.212504579689935D+01 -0.471065085282574D+00
  0.10000000  0.00000000  0.00000000    0.1935D+01 -0.228654447505774D+00  0.149354442395805D+00   -0.306550014534830D+01 -0.200234926487137D+01
  0.10000000  0.00000000  0.00000000    0.2063D+01 -0.164111246894977D+00  0.242798282896949D+00   -0.191085869225645D+01 -0.282706528721631D+01
  0.10000000  0.00000000  0.00000000    0.2195D+01 -0.837986013071945D-01  0.559477172032511D-01   -0.825410663596572D+01 -0.551081302826997D+01
  0.10000000  0.00000000  0.00000000    0.2331D+01  0.112131750120025D+00  0.175886503691220D-01    0.870392823822543D+01 -0.136527210585947D+01
  0.10000000  0.00000000  0.00000000    0.2471D+01  0.265434238851989D+00  0.423475756229554D-01    0.367389882500167D+01 -0.586136547401482D+00
  0.10000000  0.00000000  0.00000000    0.2615D+01  0.350406004585787D+00  0.963870092235724D-01    0.265308705355842D+01 -0.729790936672344D+00
  0.10000000  0.00000000  0.00000000    0.2763D+01  0.388631436256266D+00  0.100981390459878D+00    0.241039196522353D+01 -0.626312514876144D+00
  0.10000000  0.00000000  0.00000000    0.2915D+01  0.444529033507232D+00  0.636867322463700D-01    0.220432653624363D+01 -0.315809189761353D+00
  0.10000000  0.00000000  0.00000000    0.3071D+01  0.532033306467979D+00  0.551582404886541D-01    0.185959394531065D+01 -0.192792309804130D+00
  0.10000000  0.00000000  0.00000000    0.3231D+01  0.551432471481473D+00  0.131220957312418D+00    0.171627176346086D+01 -0.408410522515215D+00
  0.10000000  0.00000000  0.00000000    0.3395D+01  0.566613984667152D+00  0.466200352281706D-01    0.175300262472831D+01 -0.144234075281282D+00
  0.10000000  0.00000000  0.00000000    0.3563D+01  0.630605579039945D+00  0.565508442219529D-01    0.157312624265917D+01 -0.141073311190051D+00
  0.10000000  0.00000000  0.00000000    0.3735D+01  0.667880810168854D+00  0.577328513753829D-01    0.148616820754674D+01 -0.128467126078114D+00
  0.10000000  0.00000000  0.00000000    0.3911D+01  0.698978360596878D+00  0.652628111581235D-01    0.141829512116119D+01 -0.132424595490752D+00
  0.10000000  0.00000000  0.00000000    0.4091D+01  0.719578939387849D+00  0.742330445558367D-01    0.137506764013576D+01 -0.141854425984623D+00
  0.10000000  0.00000000  0.00000000    0.4275D+01  0.718668145947925D+00  0.850162866038647D-01    0.137225917048483D+01 -0.162334144890809D+00
