 qp(1:3)   w(Ry)   eps    epsi  --- NO LFC
  0.10000000  0.00000000  0.00000000    0.2373D+01  0.157814915850848E+00  0.192829207820785E-01    0.624332600823545E+01 -0.762852865867733E+00
  0.10000000  0.00000000  0.00000000    0.2575D+01  0.311125515583439E+00  0.823193545140183E-01    0.300385059805160E+01 -0.794775837733696E+00
  0.10000000  0.00000000  0.00000000    0.2794D+01  0.406426003137747E+00  0.936929083370856E-01    0.233631257306952E+01 -0.538587388763101E+00
  0.10000000  0.00000000  0.00000000    0.3030D+01  0.496733698393684E+00  0.524976757752115E-01    0.199091364978077E+01 -0.210411211521628E+00
  0.10000000  0.00000000  0.00000000    0.3287D+01  0.568557531853385E+00  0.967276165533165E-01    0.170936191737964E+01 -0.290810506996813E+00
  0.10000000  0.00000000  0.00000000    0.3565D+01  0.624913415985359E+00  0.529247719999554E-01    0.158882563091223E+01 -0.134559815988468E+00
  0.10000000  0.00000000  0.00000000    0.3866D+01  0.683650454897921E+00  0.606534451031065E-01    0.145131219172399E+01 -0.128760368281104E+00
  0.10000000  0.00000000  0.00000000    0.4192D+01  0.719399367352190E+00  0.770060520596615E-01    0.137430170621350E+01 -0.147108203783766E+00
  0.10000000  0.00000000  0.00000000    0.4545D+01  0.754870374272473E+00  0.367763489517620E-01    0.132159392741528E+01 -0.643864179912964E-01
  0.10000000  0.00000000  0.00000000    0.4928D+01  0.782402630551222E+00  0.693178470048490E-01    0.126816017465426E+01 -0.112354086670689E+00
  0.10000000  0.00000000  0.00000000    0.5343D+01  0.798054449307884E+00  0.365475072102197E-01    0.125042487866896E+01 -0.572641532274211E-01
  0.10000000  0.00000000  0.00000000    0.5792D+01  0.825531175962623E+00  0.145007237002934E-01    0.121096765769903E+01 -0.212710409074607E-01
  0.10000000  0.00000000  0.00000000    0.6279D+01  0.852591545258377E+00  0.112509725864851E-01    0.117269036511146E+01 -0.154750621486704E-01
  0.10000000  0.00000000  0.00000000    0.6806D+01  0.875181460739334E+00  0.356225072534165E-02    0.114260125219186E+01 -0.465072938811831E-02
  0.10000000  0.00000000  0.00000000    0.7377D+01  0.895973024776314E+00  0.382643177983482E-18    0.111610503033800E+01 -0.476654948265330E-18
  0.10000000  0.00000000  0.00000000    0.7995D+01  0.913323130048831E+00  0.417963184852833E-03    0.109490251333309E+01 -0.501059183239564E-03
  0.10000000  0.00000000  0.00000000    0.8665D+01  0.927024296149832E+00  0.539162312694489E-03    0.107872001401534E+01 -0.627389357454701E-03
  0.10000000  0.00000000  0.00000000    0.9391D+01  0.938206528070508E+00  0.468408762150654E-03    0.106586313441704E+01 -0.532142568269127E-03
  0.10000000  0.00000000  0.00000000    0.1018D+02  0.947663542544067E+00  0.193077728888282E-18    0.105522683432079E+01 -0.214992760073552E-18
  0.10000000  0.00000000  0.00000000    0.1103D+02  0.955724064433875E+00  0.162834596317945E-18    0.104632711178237E+01 -0.178271385229299E-18
  0.10000000  0.00000000  0.00000000    0.1195D+02  0.962476237603156E+00  0.137741017199509E-18    0.103898668967692E+01 -0.148690510894313E-18
