 q(1:3)   w(Ry)   eps    epsi  --- NO LFC
  0.10000000  0.10000000  0.00000000    0.6002D+01  0.930907512924465D+00  0.221743899876113D-01    0.107361140245490D+01 -0.255736231609003D-01
  0.10000000  0.10000000  0.00000000    0.6094D+01  0.928621323787798D+00  0.904921919421989D-02    0.107676296298960D+01 -0.104928282634798D-01
  0.10000000  0.10000000  0.00000000    0.6187D+01  0.934361636396836D+00  0.112552877388367D-01    0.107009414430911D+01 -0.128903168031269D-01
  0.10000000  0.10000000  0.00000000    0.6280D+01  0.930458063913749D+00  0.148753314859069D-01    0.107446484321077D+01 -0.171775830986776D-01
  0.10000000  0.10000000  0.00000000    0.6374D+01  0.931416382572318D+00  0.391407812172032D-03    0.107363349208677D+01 -0.451171510481430D-03
  0.10000000  0.10000000  0.00000000    0.6469D+01  0.939857049413781D+00  0.484986444485713D-03    0.106399131053559D+01 -0.549042392119323D-03
  0.10000000  0.10000000  0.00000000    0.6564D+01  0.944578755759353D+00  0.115520153929814D-02    0.105867138999613D+01 -0.129473462310856D-02
  0.10000000  0.10000000  0.00000000    0.6660D+01  0.948723056008617D+00  0.258051087750638D-02    0.105404058161358D+01 -0.286697278933030D-02
  0.10000000  0.10000000  0.00000000    0.6757D+01  0.948867094807706D+00  0.792084749652803D-02    0.105381494037896D+01 -0.879691948217061D-02
  0.10000000  0.10000000  0.00000000    0.6854D+01  0.945559787568615D+00  0.658748174731268D-02    0.105752325749347D+01 -0.736750361815840D-02
  0.10000000  0.10000000  0.00000000    0.6952D+01  0.947093828057070D+00 -0.177234349181554D-15    0.105586159509820D+01  0.197588599027118D-15
  0.10000000  0.10000000  0.00000000    0.7051D+01  0.951370959877452D+00  0.784335620385203D-16    0.105111469886448D+01 -0.866567021907075D-16
  0.10000000  0.10000000  0.00000000    0.7150D+01  0.953798808630012D+00  0.239400293791554D-15    0.104843913721841D+01 -0.263154698036550D-15
  0.10000000  0.10000000  0.00000000    0.7250D+01  0.955797043913518D+00  0.316885780076752D-15    0.104624721991762D+01 -0.346873709798507D-15
  0.10000000  0.10000000  0.00000000    0.7351D+01  0.957564670282096D+00 -0.451597422781637D-15    0.104431588908288D+01  0.492510196664634D-15
  0.10000000  0.10000000  0.00000000    0.7452D+01  0.959177700840371D+00 -0.870045577180352D-16    0.104255968328274D+01  0.945679242325976D-16
  0.10000000  0.10000000  0.00000000    0.7554D+01  0.960676083453834D+00 -0.192660506594930D-15    0.104093358544411D+01  0.208755891145255D-15
  0.10000000  0.10000000  0.00000000    0.7657D+01  0.962086120671526D+00 -0.621056306011606D-15    0.103940798907068D+01  0.670969960236629D-15
  0.10000000  0.10000000  0.00000000    0.7760D+01  0.963429908232334D+00 -0.747947641900179D-16    0.103795822763564D+01  0.805806838792625D-16
  0.10000000  0.10000000  0.00000000    0.7864D+01  0.964734758881538D+00  0.276405915789702D-15    0.103655433868615D+01 -0.296982925734427D-15
  0.10000000  0.10000000  0.00000000    0.7969D+01  0.966073878335658D+00  0.341356540399073D-05    0.103511752301005D+01 -0.365752707411886D-05
  0.10000000  0.10000000  0.00000000    0.8074D+01  0.967489975061746D+00  0.192592770425553D-03    0.103360240017946D+01 -0.205753397864777D-03
  0.10000000  0.10000000  0.00000000    0.8180D+01  0.968599611465413D+00  0.919209831398439D-03    0.103241740709523D+01 -0.979773499261522D-03
  0.10000000  0.10000000  0.00000000    0.8287D+01  0.969040559854073D+00  0.156499622794546D-02    0.103194585781491D+01 -0.166658800656134D-02
  0.10000000  0.10000000  0.00000000    0.8394D+01  0.969235113302308D+00  0.148523456654736D-02    0.103173898479189D+01 -0.158101412426795D-02
