 q(1:3)   w(Ry)   eps    epsi  --- NO LFC
  0.10000000  0.00000000  0.00000000    0.7515D+01  0.900103887810779E+00 -0.000000000000000E+00    0.111098286935765E+01  0.000000000000000E+00
  0.10000000  0.00000000  0.00000000    0.7763D+01  0.907447743523274E+00 -0.000000000000000E+00    0.110199183053493E+01  0.000000000000000E+00
  0.10000000  0.00000000  0.00000000    0.8015D+01  0.914088027050613E+00  0.222530129669012E-03    0.109398647738680E+01 -0.266325501991890E-03
  0.10000000  0.00000000  0.00000000    0.8271D+01  0.919599117498862E+00  0.967346250389586E-03    0.108742915737219E+01 -0.114389030821313E-02
  0.10000000  0.00000000  0.00000000    0.8531D+01  0.924329482637332E+00  0.755190682970035E-03    0.108186458537961E+01 -0.883899161998801E-03
  0.10000000  0.00000000  0.00000000    0.8795D+01  0.929138548644286E+00  0.440529086850360E-03    0.107626551138508E+01 -0.510285859553248E-03
  0.10000000  0.00000000  0.00000000    0.9063D+01  0.933570022638517E+00  0.779399860777339E-03    0.107115618406826E+01 -0.894264983331467E-03
  0.10000000  0.00000000  0.00000000    0.9335D+01  0.937001641913886E+00  0.114010987487002E-02    0.106723240894752E+01 -0.129856998514652E-02
  0.10000000  0.00000000  0.00000000    0.9611D+01  0.940376894678080E+00  0.229935633711506E-03    0.106340335015895E+01 -0.260017366008809E-03
  0.10000000  0.00000000  0.00000000    0.9891D+01  0.944091177734498E+00 -0.000000000000000E+00    0.105921972748402E+01  0.000000000000000E+00
  0.10000000  0.00000000  0.00000000    0.1018D+02  0.947431833742026E+00 -0.000000000000000E+00    0.105548490602258E+01  0.000000000000000E+00
  0.10000000  0.00000000  0.00000000    0.1046D+02  0.950440843171790E+00 -0.000000000000000E+00    0.105214333662558E+01  0.000000000000000E+00
